Index,Text
372,"<font face='$HandwrittenFont' size='17'>
I have heard talk about the Dragons, but didn't believe it until now. One flew by last week and ever since we have seen him fly back and forth from a nearby mountain peak. My wife thinks we should move away, go somewhere else. I told her that would be nonsense. As long as we don't bother it, it won't bother us. Still, I thought it would be best if we report it to the local authorities. The creature's lair is just south the hill behind our shack near Bear's Cave Mill."
399,"
<p align='center'>
<img src='img://Textures/Interface/Books/DBHand.png' width='300' height='300'>
</p>"
404,Dual casting an Alteration spell overcharges the effects into an even more powerful version.
433,"<font face=""$HandwrittenBold"" size=""20"">
Ahkari,

You can take those prices and eat them. We've found our own source of Skooma now- the real stuff, not that watered-down thirdhand trash you've been selling. And don't even think of ratting us out- one word to the guard, and I'll make sure they know what that 'seer' of yours is <i>really</i> up to.
</font>"
717,"[pagebreak]
<p align=""center"">

DE RERUM DIRENNIS


By

Vorian Direnni
</p>
[pagebreak]
[pagebreak]
<p align=""left"">
I am six-hundred-and-eleven years old. I have never had children of my own, but I have many nieces and nephews and cousins who have been raised with the tales and traditions of our ancient, illustrious, and occasionally notorious clan, the Direnni. Few families in Tamriel can boast so many famous figures, wielding so much power over the fate of so many. Our warriors and kings are stuff of legend, and it is not to dismiss their honor and their achievements to say you have heard quite enough about them.

I myself have never picked up a sword or written an important law, but I am part of a lesser known but still important Direnni tradition: the way of the wizard. My own autobiography would be of little interest to posterity - though my nephew, nieces, and cousins indulge me to tell wild tales of life in the chaotic Second Era of Tamriel - but I have a few ancestors whose stories should be told. They may have changed history as we know it as dramatically as my better known relatives, but their names are in danger of being forgotten.

Most recently, Lysandus, the King of Daggerfall, was able to conquer his ancient enemies of Sentinel in part thanks to his court sorceress, Medora Direnni. Her grandfather Jovron Direnni was Imperial Battlemage to the court of the Dunmer Empress of Tamriel, Katariah, assisting her in creating peace in a time of turmoil. His great great grandfather Pelladil Direnni had a similar role with the first Potentate, and encouraged the Guild Act without which we would not have all the professional organizations we have today. His ancestor, many times back, was the witch Raven Direnni, who with her better known cousins Aiden and Ryain, brought an end to the tyranny of the latter Alessian Empire. Before the Psijics of Artaeum, it is said, she created the art of enchantment, learning how to bind a soul into a gem and use that to ensorcel all manners of weaponry.

But it is the story of an ancestor even more ancient, more distant than Raven I wish to tell.

Asliel Direnni harkens back to the humble beginnings of our clan, in the tiny farming village of Tyrigel on the banks of the river Caomus which was then called the Diren, hence the family name. Like all on Summurset Isle in those days, he was a simple planter of the fields. But while others only grew enough to sustain their immediate kin, even distant cousins of the Dirennis worked together. They would decide as a group which fields were best for wheat, orchard, vine, livestock, or apiary, and thereby always have the best yields of any farm which worked alone, doing the best as it could with what it had.

Asliel had a particularly poor farm for most kind of agriculture, but small herbs found its stony, loamless, acidic soil very comfortable. Out of necessity more than anything else he became an expert on all manners of herbs. For the most part, of course, they were used in flavoring cooking, but as you know, hardly any plant grows on the surface of our world without a magickal potential.

Even so long ago, witches already were in existence. It would be ridiculous for me to suggest that Asliel Direnni invented alchemy. What he did, what we can all be grateful for, is that he formulated it into an art and science.

There were no witches' covens in Tyrigel, and, of course, there would be no Mages Guild yet for thousands of years, so people would come to him for cures. He learned for himself the exact formula for combining black lichen and roobrush to create a cure for all manners of poison, and the amount of willow anther to crush and mix with chokeweed to cure diseases.

There were few much greater threats in Tyrigel in those peaceful days than disease or accidental poisonings. Yes, there were some dark forces in the wilderness, trolls, chimera, the occasional malevolent fairy folk and will-o'-the-wisp, but even the youngest, most foolish Altmer knew how to avoid them. There were, however, a few unusual threats which Asliel had a hand in defeating.

One of the tales told of him that I believe to be true is how he was brought a young niece who had been suffering from an unknown disease. Despite his ministrations, she grew weaker and weaker every morning. Finally, he gave her a bitter tasting drink, and the next morning, ashes were found all around her bed. A vampire had been feeding on the poor girl, but Asliel's potion had turned her very blood into poison, without harming her in the least.

If only this formula had not been lost in the mists of history!

This would have been enough to make him a minor but significant figure in the annals of early Summurset, but at that point in history, a barbarian tribe called the Locvar had found their way down the Diren River, and recognized Tyrigel as a rich target for raids. The Direnni, not being warriors yet but simple farmers, were helpless and could only flee and watch the Locvar take the best of their crops, raid after raid.

Asliel, however, had been experimenting with the vampire dust, and brought his cousins to him with a plan. The next time the Locvar were sighted on the Diren, the word went out and all the most able-bodied came to Asliel's laboratory. When the barbarians arrived in Tyrigel, they found the farms deserted, and assumed that all had fled as usual. As they set about stealing the bounty, they suddenly found themselves under attack by invisible forces. Believing the Direnni farms to be haunted, they ran away very quickly.

They attempted a few more raids, for their greed would always eventually overpower their fear, and each time, they were set upon by attackers who they could not see. As barbaric as they were, they were not stupid, and they changed their mind about the source of their defeat. It could not be that the farms were haunted, because the crops were still being tended and harvested, and the animals seemed to show no fear. The Locvar decided to send a scout to the farm to see if he could spy their secrets.

The scout sent word back to the Locvar that the Direnni farms were populated with flesh and blood, entirely visible Altmer. He continued to watch as his barbarian cohorts moved down the river, and he saw the elderly and children flee for the hills, while the able-bodied farmers and their wives went to Asliel's laboratory. He saw them go in; he saw no one come out.

As usual, the Locvar were repelled by invisible forces, but their scout soon told them what he saw happening in the laboratory.

The next night, two of the Locvar approached Asliel's farm very stealthily, and managed to kidnap him without alerting the rest of the Direnni. The Locvar chieftain, knowing that the farmers could no longer count on the alchemist to make them invisible, considered an immediate attack on the farms. But he was a vengeful sort, and felt he had been humiliated by these simple farmers. A crafty plan emerged in his mind. What if the Direnni, who always saw his barbarian tribe coming, for once did not? Imagine the slaughter if no one even had a chance to flee.

The scout had told the chieftain that Asliel had used the dust of a vampire to make the farmers invisible, but he was not sure what the other ingredient had been. He described an incandescent powder that Asliel had mixed into the dust. Asliel, of course, refused to help the Locvar, but they were experts in torture as well as pillage, and he knew he would have to talk or die.

Finally after hours of torture, he agreed to tell them what the incandescent powder was. He did not know the name, but he called it ""Glow Dust,"" the only remains of a slain will-o'-the-wisp. He told them they would need a lot of it if they wanted to turn the whole tribe invisible for the raid.

The Locvar grumbled that not only did they have to find and kill a vampire to attain his dust, but find and kill several will-o'-the-wisps to get theirs. In a few days time, they came back with the ingredients the alchemist asked for. The chieftain, not being a complete idiot, made Asliel taste the potion first. He did as he was told and turned invisible, demonstrating that it did truly work. The chieftain put him to work creating more. No one apparently noticed that while he did, he was nibbling on black lichen and roobrush.

The Locvar took the potion as he doled it out, and soon, but not too soon that they didn't suffer, they were all dead.

The scout who had seen Asliel mixing the invisibility potion had apparently mistook the glow of the candlelight in the laboratory for an incandescence which the second ingredient of the invisibility potion did not possess. The second ingredient was actually dull, simple redwort, one of the most common herbs in Tamriel. When they had insisted during torture that Asliel tell them what the incandescent powder was, Asliel remembered that he had once experimentally mixed glow dust and vampire dust together once and created a powerful poison. It was simple enough to steal a little redwort from the barbarian's camp, mix that with the vampire and glow dust mixture, and create a potion that was in fact an invisibility poison. After curing himself, he gave the poison to the barbarians.

The Locvar, being dead, never again raided the Direnni farms, and having no other enemies, they were able to grow more and more prosperous and powerful. Generations later, they left Summurset and began their historic adventures on the Tamriel mainland. Asliel Direnni, because of his excellence as an alchemist, was invited to Artaeum and became a Psijic. It is not known how many more of the common formulas we know today were invented by him there, but I have no doubt, the science and art of alchemy as we know it today would not exist without him.

But that is all in the distant past. Asliel's innovations, like my modest ones, like the achievements of the Dirennis throughout history, are but a stepping stone to the wonders which will come in the future. I wish I could be there to witness them, but if I can only share some of the past with the children of Direnni and the children of Tamriel, then I will consider my life well spent."
755,"Eltrys has asked me to uncover evidence surrounding the murder of woman in Markarth's marketplace, who was attacked in broad daylight by a man claiming to be a member of the Forsworn."
774,Static world object.
796,Non-spell projectile.
804,It's a biped
808,"All Flora including trees, bushes, weeds and flowers."
826,A water area phantom.
827,A trigger.
834,Terrain objects such as boulders and mountains.
836,Traps
840,"Erikur has been cheated by Volf, captain of a trading vessel named the Dainty Sload. In order to frame Volf for a crime he didn't commit, Erikur is requesting that a substance called Balmora Blue be stashed on board in the captain's footlocker."
842,Trap that is a cloud and doesn't have physical presence.
844,Terrain from the Height Field Map.
845,"Portal layer (same setup as noncollidable, but used differently by game code)"
849,Small debris collide with fewer things than large debris do
850,Debris objects are junk that we don't really care about. We can set them to the debris moiontype
851,Volumes in which sound is manipulated
853,Trigger type for stream-lined actor only trigger boxes.
859,Static object that is very thin (only collides with larger projectiles).
865,None of your weapons fit in this slot.
869,same as L_TRANSPARENT_SMALL but animated.
871,Used for collision geometry attached to Ward magic visuals.
874,A character controller
875,A helper object to smooth character controller & footIK traversal of steps.
876,We need this to differentiate between keyframed + dynamic Bipeds
877,We need this to allow collision with the actor's ragdoll instead of its character controller.
878,Avoid box cast in front of the character.
882,Sphere around the camera -- collides only with phantom objects
883,I've been told to retrieve the <Alias=ItemToGet> from <Alias=Business> in <Alias=City>.
884,Layer used for the phantoms in front of actors so that they can detect animated doors.
889,"Used for Cone Projectiles, which ignore hits with certain collision layers."
891,Player camera.
895,Line of sight pick.
906,This trigger type is used for the falling traps and should get trigger events when it collides with any visible collidable.
907,Only for cutting namvesh.
927,"<font face='$HandwrittenFont'>this is hand written font
abcdefghijklmnopqrstuvwxyz
ABCDEFGHIJKLMNOPQRSTUVWXYZ
1234567890.?!,""""()

FRENCH
à â é è ê ë ù û ü î ï ô ç 

ITALIAN
à é è è ì ó ò ù É È Ì Ó Ò Á Ù 

GERMAN
ä ö ü ß Ä Ö Ü

SPANISH
á é í ó ú ñ ü ç ¿ ¡ ª º Á É Í Ó Ú Ñ Ü Ç</font>

[pagebreak]
<font face='$HandwrittenBoldFont'>this is hand written font
abcdefghijklmnopqrstuvwxyz
ABCDEFGHIJKLMNOPQRSTUVWXYZ
1234567890.?!,""""()

FRENCH
à â é è ê ë ù û ü î ï ô ç 

ITALIAN
à é è è ì ó ò ù É È Ì Ó Ò Á Ù 

GERMAN
ä ö ü ß Ä Ö Ü

SPANISH
á é í ó ú ñ ü ç ¿ ¡ ª º Á É Í Ó Ú Ñ Ü Ç</font>

[pagebreak]

<font face='$skyrimbooks'>this is skyrim books font. this is default if no specific font is tagged.
abcdefghijklmnopqrstuvwxyz
ABCDEFGHIJKLMNOPQRSTUVWXYZ
1234567890.?!,""""()


FRENCH
à â é è ê ë ù û ü î ï ô ç 

ITALIAN
à é è è ì ó ò ù É È Ì Ó Ò Á Ù 

GERMAN
ä ö ü ß Ä Ö Ü

SPANISH
á é í ó ú ñ ü ç ¿ ¡ ª º Á É Í Ó Ú Ñ Ü Ç</font>
[pagebreak]

this is daedric font  ""abcdefghijklmnopqrstuvwxyz 
ABCDEFGHIJKLMNOPQRSTUVWXYZ""
<font face='$DaedricFont'>
abcdefghijklmnopqrstuvwxyz 
ABCDEFGHIJKLMNOPQRSTUVWXYZ</font>

this is dragon font ""1234567890
QWERTYUIOP
ASDFGHJKL
ZXCVBN M
asdfghjklzxcvbnm""
<font face='$dragonFont'>
1234567890
QWERTYUIOP
ASDFGHJKL
ZXCVBN M
asdfghjklzxcvbnm</font>

this is dwemer font ""abcdefghijklmnopqrstuvwxyz 
ABCDEFGHIJKLMNOPQRSTUVWXYZ""
<font face='$dwemerFont'>
abcdefghijklmnopqrstuvwxyz 
ABCDEFGHIJKLMNOPQRSTUVWXYZ</font>

FALMER HAS NO LOWER CASE ""ABCDEFGHIJKLMNOPQRSTUVWXYZ 1""
<font face='$falmerFont'>
ABCDEFGHIJKLMNOPQRSTUVWXYZ 1</font>

Mage script  ""12QWERTYUIOPASDFGHJKLZXCVBN M""
<font face='$MageScriptFont'>
12QWERTYUIOPASDFGHJKLZXCVBN M</font>


<b>this text should be bold</b>
<i>this text should be italicized</i>

<font size='10'>A</font><font size='20'>A</font><font size='30'>A</font><font size='40'>A</font>

Alpha (but we don't care if this ever works)
<font alpha='#FF'>A</font><font alpha='#C0'>A</font><font alpha='#80'>A</font><font alpha='#60'>A</font>

[pagebreak]
pagebreak

Images outside of text
You should see the black hand:
<img src='img://Textures/Interface/Books/dbhand.png'>

<p><img src='img://Textures/Interface/Books/Illuminated_Letters/I_letter.png'>mage within text.  Notice that we have to enclose the text with
 paragraph tags in order for the image to show up within the text. </p>

-without p tags
<img src='img://Textures/Interface/Books/Illuminated_Letters/I_letter.png'>mage within text.  Notice that we have to enclose the text with
 paragraph tags in order for the image to show up within the text.

<p align='left'>Left-aligned</p>
<p align='center'>Center-aligned</p>
<p align='right'>Right-aligned</p>

illuminated letters in a row with no width/height tags:
[pagebreak]
<p align='left'>Left-aligned after page break</p>
[pagebreak]
<p align='center'>Center-aligned after page break</p>
[pagebreak]
<p align='right'>Right-aligned after page break</p>

actual book now:
[pagebreak]
<p align=""center"">

BIOGRAPHY 
OF
QUEEN BARENZIAH

VOLUME ONE

by 
Stern Gamboge
Imperial Scribe
</p>
[pagebreak]


<p align=""left"">
<img src='img://Textures/Interface/Books/Illuminated_Letters/L_letter.png'>ate in the Second Era, a girl-child, Barenziah, was born to the rulers of the kingdom of Mournhold in what is now the Imperial Province of Morrowind.  She was reared in all the luxury and security befitting a royal Dark Elven child until she reached five years of age.  At that time, His Excellency Tiber Septim I, the first Emperor of Tamriel, demanded that the decadent rulers of Morrowind yield to him and institute imperial reforms.  Trusting to their vaunted magic, the Dark Elves impudently refused until Tiber Septim's army was on the borders. An Armistice was hastily signed by the now-eager Dunmer, but not before there were several battles, one of which laid waste to Mournhold, now called Almalexia.

Little Princess Barenziah and her nurse were found among the wreckage.  The Imperial General Symmachus, himself a Dark Elf, suggested to Tiber Septim that the child might someday be valuable, and she was therefore placed with a loyal supporter who had recently retired from the Imperial Army.  

Sven Advensen had been granted the title of Count upon his retirement; his fiefdom, Darkmoor, was a small town in central Skyrim.  Count Sven and his wife reared the princess as their own daughter, seeing to it that she was educated appropriately-and more importantly, that the imperial virtues of obedience, discretion, loyalty, and piety were instilled in the child.  In short, she was made fit to take her place as a member of the new ruling class of Morrowind.  

The girl Barenziah grew in beauty, grace, and intelligence.  She was sweet-tempered, a joy to her adoptive parents and their five young sons, who loved her as their elder sister.  Other than her appearance, she differed from young girls of her class only in that she had a strong empathy for the woods and fields, and was wont to escape her household duties to wander there at times.  

Barenziah was happy and content until her sixteenth year, when a wicked orphan stable-boy, whom she had befriended out of pity, told her he had overheard a conspiracy between her guardian, Count Sven, and a Redguard visitor to sell her as a concubine in Rihad, as no Nord or Breton would marry her on account of her black skin, and no Dark Elf would have her because of her foreign upbringing.  

""Whatever shall I do?"" the poor girl said, weeping and trembling, for she had been brought up in innocence and trust, and it never occurred to her that her friend the stable-boy would lie to her.  

The wicked boy, who was called Straw, said that she must run away if she valued her virtue, but that he would come with her as her protector.  Sorrowfully, Barenziah agreed to this plan; and that very night, she disguised herself as a boy and the pair escaped to the nearby city of Whiterun.  After a few days there, they managed to get jobs as guards for a disreputable merchant caravan.  The caravan was heading east by side roads in a mendacious attempt to elude the lawful tolls charged on the imperial highways.  Thus the pair eluded pursuit until they reached the city of Rifton, where they ceased their travels for a time.  They felt safe in Rifton, close as it was to the Morrowind border so that Dark Elves were enough of a common sight.
</p>


"
943,"Your Voice is raw power, pushing aside anything - or anyone - who stands in your path."
970,"The Thu'um reaches out to the Void, changing your form to one that cannot harm, or be harmed."
975,"In addition to their quick and perceptive grasp of spellcraft, even the humblest of High Rock's Bretons can boast a resistance to magic. Bretons can call upon the Dragonskin power to absorb spells."
977,I have been inducted as a full member of the Companions.
989,"The Thu'um imbues your arms with the speed of wind, allowing for faster weapon strikes."
997,"Skyrim itself yields before the Thu'um, as you clear away fog and inclement weather."
1017,We have rescued the prisoners and taken over <Alias=AttackPoint>.
1043,"The valiant of Sovngarde hear your Voice, and journey beyond space and time to lend aid."
1077,Fire Breath shout deals 25% more damage.
1078,"A Shout for help from the beasts of the wild, who come to fight in your defense."
1083,"And the weak shall fear the Thu'um, and flee in terror."
1087,I found <Global=CR03TotalPeltsNeeded> <Alias=SamplePelt>s for the Companions.
1091,"Your Voice is not a Shout, but a whisper, revealing the life forces of any and all."
1099,"Speak, and let your Voice herald doom, as an opponent's armor and lifeforce are weakened."
