Index,Text
74188,Increases your health by <mag> points.
74261,Magicka regenerates <mag>% faster.
74290,Stamina regenerates <mag>% faster.
74300,Health regenerates <mag>% faster.
74382,Weapons and armor can be improved <mag>% better.
74426,Increases your Magicka by <mag> points.
74437,Created potions are <mag>% more powerful.
74449,Increases your stamina by <mag> points.
74579,A blast from Wabbajack with an unpredictable effect. 
74620,Character menu is not available.
74933,MaterialWaterPuddle
74959,MaterialWaterPuddle
75018,MaterialWaterPuddle
75206,Summons a Dremora for <dur> seconds.
75218,Summon Dremora
75374,Calls a storm for <dur> seconds with lightning that strikes friend and foe alike.
75377,Calls a storm for <dur> seconds with lightning that strikes friend and foe alike.
75378,Calls a storm for <dur> seconds with lightning that strikes friend and foe alike.
75456,I've purchased Honeyside.
